brand,jenis_mobil,tahun_kendaraan,warna,transmisi,kilometer,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,harga
Wuling,Hatchback,2022,Hijau,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,235000000
Tesla,Sedan,2019,Hitam,Automatic,17500,0,Electric,Complete Built Up (CBU),5,4,1000000000
Wuling,Hatchback,2022,Putih,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,240000000
Wuling,Hatchback,2022,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,230000000
Wuling,Hatchback,2022,Lainnya,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,213000000
Wuling,Hatchback,2022,Kuning,Automatic,17500,0,Electric,Complete Knock Down (CKD),4,3,215000000
Hyundai,Wagon,2023,Abu-abu,Automatic,12500,0,Electric,Complete Knock Down (CKD),5,5,635000000
Wuling,Hatchback,2022,Lainnya,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,207000000
Wuling,Hatchback,2022,Kuning,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,220000000
Tesla,Sedan,2021,Putih,Automatic,2500,0,Electric,Complete Built Up (CBU),5,4,985000000
Wuling,Hatchback,2023,Putih,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,198000000
Hyundai,Wagon,2021,Hitam,Automatic,52500,0,Electric,Complete Built Up (CBU),5,5,355000000
Wuling,Hatchback,2022,Putih,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,185000000
Wuling,Hatchback,2022,Biru,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,199000000
Wuling,Hatchback,2022,Kuning,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,225000000
BMW,Wagon,2023,Putih,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1650000000
Wuling,Hatchback,2022,Kuning,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,200000000
Hyundai,Wagon,2023,Hitam,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,685000000
Nissan,Hatchback,2021,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,550000000
Wuling,Hatchback,2023,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,210000000
